text,label,label_text,text_clean
How do I request the PIN?,38,get_physical_card,how do i request the pin?
Why won't my transfer go through?,35,failed_transfer,why won't my transfer go through?
"Hi,  I have transferred money but beneficiary's account is credited with less amount. Now i have transfer the difference of the amount. I think there is some issue, could you please look into this.",64,transfer_fee_charged,"hi, i have transferred money but beneficiary's account is credited with less amount. now i have transfer the difference of the amount. i think there is some issue, could you please look into this."
What's the process to receive a second card?,39,getting_spare_card,what's the process to receive a second card?
Every ATM I visit is rejecting my card and I don't know why. There should be money on it. Can you check it to see if something is wrong or if I'm doing something wrong?,26,declined_cash_withdrawal,every atm i visit is rejecting my card and i don't know why. there should be money on it. can you check it to see if something is wrong or if i'm doing something wrong?
I just looked over my statement and I don't recognize the name of a card payment.,16,card_payment_not_recognised,i just looked over my statement and i don't recognize the name of a card payment.
I've made a bank transfer but the money doesn't seem to be in my account.,5,balance_not_updated_after_bank_transfer,i've made a bank transfer but the money doesn't seem to be in my account.
"Why are you charging for cash withdrawals? I went to withdraw some money earlier today after getting my groceries, and it appears there is a fee that wasn't there before",19,cash_withdrawal_charge,"why are you charging for cash withdrawals? i went to withdraw some money earlier today after getting my groceries, and it appears there is a fee that wasn't there before"
Can I have a duplicate second card?,39,getting_spare_card,can i have a duplicate second card?
I paid two weeks ago and just got refunded,53,reverted_card_payment?,i paid two weeks ago and just got refunded
"I attempted a transfer, but it failed.",35,failed_transfer,"i attempted a transfer, but it failed."
What is the reason that my top-up is still pending?,47,pending_top_up,what is the reason that my top-up is still pending?
Why was there a fee for paying by card?,15,card_payment_fee_charged,why was there a fee for paying by card?
My card has been compromised. I see a bunch of online shopping charges that I didn't make. I need to freeze it immediately.,22,compromised_card,my card has been compromised. i see a bunch of online shopping charges that i didn't make. i need to freeze it immediately.
I would like to get help from someone in your customer service department with assisting me with activating my card.,0,activate_my_card,i would like to get help from someone in your customer service department with assisting me with activating my card.
Is there a limit for age?,1,age_limit,is there a limit for age?
"I transferred money, why was charged for an extra fee?",64,transfer_fee_charged,"i transferred money, why was charged for an extra fee?"
How much would it cost me for a bank transfer to top up my account?,56,top_up_by_bank_transfer_charge,how much would it cost me for a bank transfer to top up my account?
Is my PIN recorded anywhere?,38,get_physical_card,is my pin recorded anywhere?
I'm in China and really need a new card.,9,card_about_to_expire,i'm in china and really need a new card.
is there a foreign currencies charge?,31,exchange_charge,is there a foreign currencies charge?
What's the limit for auto top-up?,4,automatic_top_up,what's the limit for auto top-up?
Why can't I see my funds after I topped up?,47,pending_top_up,why can't i see my funds after i topped up?
I got some items this morning but the payment says pending,45,pending_card_payment,i got some items this morning but the payment says pending
I thought you guys offered free transfers. Why was I charged?,64,transfer_fee_charged,i thought you guys offered free transfers. why was i charged?
Can we skip verifying?,74,why_verify_identity,can we skip verifying?
I did not have the right exchange rate applied to my situation of pulling out cash,76,wrong_exchange_rate_for_cash_withdrawal,i did not have the right exchange rate applied to my situation of pulling out cash
How can I get my money that I didn't get from the ATM?,75,wrong_amount_of_cash_received,how can i get my money that i didn't get from the atm?
I have an unfamiliar direct debit in my statement.,28,direct_debit_payment_not_recognised,i have an unfamiliar direct debit in my statement.
Is it possible to use my apple watch for topping up?,2,apple_pay_or_google_pay,is it possible to use my apple watch for topping up?
I have a transfer waiting.,48,pending_transfer,i have a transfer waiting.
Why is the cash not showing in my account for the check I deposited?,6,balance_not_updated_after_cheque_or_cash_deposit,why is the cash not showing in my account for the check i deposited?
Can I still access the app even though my phone was stolen?,42,lost_or_stolen_phone,can i still access the app even though my phone was stolen?
Why do you have an identity check?,74,why_verify_identity,why do you have an identity check?
What do I need to do in order to use my card I just got?,0,activate_my_card,what do i need to do in order to use my card i just got?
Help me use American Express to add money to the account.,54,supported_cards_and_currencies,help me use american express to add money to the account.
Why didn't I receive the right amount of cash at the ATM?,75,wrong_amount_of_cash_received,why didn't i receive the right amount of cash at the atm?
"Hurry and refund me, I am waiting",51,Refund_not_showing_up,"hurry and refund me, i am waiting"
Why have I been charged an extra pound?,34,extra_charge_on_statement,why have i been charged an extra pound?
Why was there an extra charge with the withdrawal of my money?,19,cash_withdrawal_charge,why was there an extra charge with the withdrawal of my money?
Is there a money transfer fee?,64,transfer_fee_charged,is there a money transfer fee?
My account is depleted. Can I transfer funds from another bank?,65,transfer_into_account,my account is depleted. can i transfer funds from another bank?
I see a duplicate payment.,63,transaction_charged_twice,i see a duplicate payment.
What is delivery speed to the United States?,12,card_delivery_estimate,what is delivery speed to the united states?
Can I tell what business will take this card?,10,card_acceptance,can i tell what business will take this card?
"Hello, I tried to take some cash out of the ATM but I looked at my statement and it still shows that it's pending. Is the machine broken? Will I receive my money back or will I be charged for this?",46,pending_cash_withdrawal,"hello, i tried to take some cash out of the atm but i looked at my statement and it still shows that it's pending. is the machine broken? will i receive my money back or will i be charged for this?"
The ATM took my card.,18,card_swallowed,the atm took my card.
I have never been charged a card payment fee before. Why did this change?,15,card_payment_fee_charged,i have never been charged a card payment fee before. why did this change?
I'm due a refund and it is not on my statement.,51,Refund_not_showing_up,i'm due a refund and it is not on my statement.
My withdrawals were going smooth until I got declined today. What is going on?,26,declined_cash_withdrawal,my withdrawals were going smooth until i got declined today. what is going on?
There is a duplicate payment on my card. Why?,63,transaction_charged_twice,there is a duplicate payment on my card. why?
I think the payment from my card was revereted,53,reverted_card_payment?,i think the payment from my card was revereted
Why are my transfers not going through.  I have tried over 4 times to get it to work.  This is just a simple transfer.  Is something else causing this in the system?  Is it broken?,35,failed_transfer,why are my transfers not going through. i have tried over 4 times to get it to work. this is just a simple transfer. is something else causing this in the system? is it broken?
"I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as ""pending"", it never changes, and now I'm thinking someone's hacked my account!",34,extra_charge_on_statement,"i'm pretty frustrated about a pound charge that keeps showing up in my account statement. it's listed in the app as ""pending"", it never changes, and now i'm thinking someone's hacked my account!"
How to order my card?,43,order_physical_card,how to order my card?
Are top-ups unlimited?,60,top_up_limits,are top-ups unlimited?
The app won't identify me.,68,unable_to_verify_identity,the app won't identify me.
What went wrong with my transfer?,27,declined_transfer,what went wrong with my transfer?
Why is my transfer still pending after all this time?,48,pending_transfer,why is my transfer still pending after all this time?
I can't get my card out of the ATM,18,card_swallowed,i can't get my card out of the atm
How long does it take for a money transfer to show up?,48,pending_transfer,how long does it take for a money transfer to show up?
My top-up has been reverted and I would like to know why.,61,top_up_reverted,my top-up has been reverted and i would like to know why.
Did a WD earlier at an ATM.  The amount showing in the App is more than I got though.,75,wrong_amount_of_cash_received,did a wd earlier at an atm. the amount showing in the app is more than i got though.
How was I charged extra when I used my card to pay?,15,card_payment_fee_charged,how was i charged extra when i used my card to pay?
Which currencies are allowed?,36,fiat_currency_support,which currencies are allowed?
how to get virtual card,40,getting_virtual_card,how to get virtual card
what is the age limit for opening a new account,1,age_limit,what is the age limit for opening a new account
What happens if I use my account and my identity verification hasn't finished?,74,why_verify_identity,what happens if i use my account and my identity verification hasn't finished?
In the app I see a direct debit that I don't recognize.,28,direct_debit_payment_not_recognised,in the app i see a direct debit that i don't recognize.
What if my top up is reverted?,61,top_up_reverted,what if my top up is reverted?
I'm seeing a direct debit payment that is not me.,28,direct_debit_payment_not_recognised,i'm seeing a direct debit payment that is not me.
My product hasn't arrived even though I ordered it a while ago. I want a refund!,52,request_refund,my product hasn't arrived even though i ordered it a while ago. i want a refund!
I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.,47,pending_top_up,i topped up about half an hour ago and the charge is still pending. i'm a new customer and today is my first time doing this. can you fix it? it doesn't seem to be working.
Why is there a cash withdrawal I didn't make?,20,cash_withdrawal_not_recognised,why is there a cash withdrawal i didn't make?
I need my payment in another currency,50,receiving_money,i need my payment in another currency
The exchange rate is incorrect for my payment.,17,card_payment_wrong_exchange_rate,the exchange rate is incorrect for my payment.
"So earlier I went to an ATM and got cash. But when I checked the app, it states that the withdrawal is pending. How can that be when I have the cash on me?",46,pending_cash_withdrawal,"so earlier i went to an atm and got cash. but when i checked the app, it states that the withdrawal is pending. how can that be when i have the cash on me?"
My payment was declined,25,declined_card_payment,my payment was declined
Hello. I'm trying to transfer some money to a friend but it keeps getting rejected. can you help me?,35,failed_transfer,hello. i'm trying to transfer some money to a friend but it keeps getting rejected. can you help me?
I can't get my virtual card to work.,72,virtual_card_not_working,i can't get my virtual card to work.
Why didn't I receive the right amount of cash?,75,wrong_amount_of_cash_received,why didn't i receive the right amount of cash?
Can i receive transfers from my employer to this account?,50,receiving_money,can i receive transfers from my employer to this account?
Do you work in Greece?,24,country_support,do you work in greece?
Where is the top-up verification code?,71,verify_top_up,where is the top-up verification code?
"i put in money for vacation and its not showing. i need that money today, how long will it take",48,pending_transfer,"i put in money for vacation and its not showing. i need that money today, how long will it take"
"My top up has been pending for an hour already, and I really need this to go through as soon as possible.  Can you help?",47,pending_top_up,"my top up has been pending for an hour already, and i really need this to go through as soon as possible. can you help?"
"I moved, can I edit my personal details?",30,edit_personal_details,"i moved, can i edit my personal details?"
"Hello, I have noticed a problem on my recent withdrawal at the banks atm machine.  I made a transaction and upon receiving my funds from the machine, a fee was assessed to my withdrawal.  Are these types of transactions free of charge?",19,cash_withdrawal_charge,"hello, i have noticed a problem on my recent withdrawal at the banks atm machine. i made a transaction and upon receiving my funds from the machine, a fee was assessed to my withdrawal. are these types of transactions free of charge?"
